1-WT-0h-A431	1-WT-0h-A431-HSA	1-WT-24h-A431	1-WT-24h-A431-HSA	1-WT-3h-A431	1-WT-3h-A431-HSA	2-WT-0h-A431	2-WT-0h-A431-HSA	2-WT-24h-A431	2-WT-24h-A431-HSA	2-WT-3h-A431	2-WT-3h-A431-HSA	3-WT-0h-A431	3-WT-0h-A431-HSA	3-WT-24h-A431	3-WT-24h-A431-HSA	3-WT-3h-A431	3-WT-3h-A431-HSA
C1_01470W_A	1717	3675	1868	2463	841	1207	2712	3119	1398	3063	694	1189	2656	2374	1533	3007	790	930
C1_01480C_A	41622	94988	10329	17394	13344	24530	61427	88669	10562	21815	17474	30415	62119	61727	10533	20170	14702	26426
C1_01490W_A	3719	6288	4081	4835	1152	1320	4059	10689	3557	6888	1279	1389	8545	9430	4074	6070	1005	1323
C1_01500W_A	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0
C1_01510W_A	129	448	348	1001	24	126	453	63	193	1770	18	28	213	188	196	1946	25	27
C1_01520C_A	724	822	880	666	414	537	520	981	733	1200	386	398	1526	2134	894	814	261	595
C1_01530C_A	3882	10287	2454	2611	1911	3980	5630	10150	2272	3762	2339	4527	6587	6482	2498	3818	2117	3989
C1_01540W_A	907	1117	851	1084	411	383	1050	1347	646	1365	333	488	1208	894	855	1347	499	352
C1_01550W_A	1040	1208	1076	1059	418	376	1193	1425	872	1351	361	556	1187	892	1104	1132	445	366
C1_01560W_A	2054	4322	2150	3565	817	1006	3428	3022	1438	4467	514	1179	2369	2644	2239	3054	977	915
C1_01570C_A	888	1657	660	1048	345	554	1179	1687	653	1266	371	629	1061	1193	572	1087	355	453
C1_01580W_A	1081	2366	923	976	381	753	1326	2346	878	1017	405	924	1287	1741	707	1331	300	784
C1_01590C_A	4424	9581	3198	4468	1679	2424	7137	7451	2201	6073	1260	2679	6076	6109	3756	3973	1954	2130
C1_01600W_A	1755	4468	1457	1842	550	1154	2412	4376	1508	2223	738	1344	2409	3174	1334	2427	485	1165
C1_01610C_A	56	27	562	475	74	22	54	81	391	603	76	31	119	48	812	409	107	38
C1_01620C_A	148	236	298	524	114	116	226	257	230	623	131	124	288	170	247	753	104	109
C1_01630W_A	881	751	1260	1762	539	285	972	1051	1272	1785	517	410	1501	879	1591	1243	629	320
C1_01640W_A	6418	11264	2964	7550	1001	1876	11226	13380	3076	8942	1450	2422	7260	8454	2978	7817	1139	2230
C1_01650W_A	1842	1379	577	703	606	459	1838	2665	528	717	729	1018	1780	1333	476	633	850	699
C1_01670C_A	378	935	592	360	297	435	806	384	493	459	360	532	344	384	567	401	344	474
C1_01680C_A	1161	2753	1206	1468	382	820	1472	2842	1118	1491	517	775	1540	1867	1070	1662	269	696
C1_01690C_A	13629	28736	3802	2177	7040	7117	23872	18330	2796	2582	6999	9418	19361	18783	2357	2732	7691	6772
C1_01700W_A	1849	2331	1252	1729	710	763	1947	3036	898	1896	399	1093	1940	2079	894	1571	802	770
C1_01710W_A	698	1443	841	3553	138	171	922	1859	624	4523	130	342	913	1150	902	4688	185	325
C1_01740W_A	2	6	2362	7631	7	3	8	15	1655	8572	5	2	6	3	2166	6423	2	3
C1_01750W_A	163	160	109	213	39	95	182	416	78	361	15	92	167	223	108	144	27	106
C1_01760W_A	672	754	468	257	193	139	759	907	314	330	119	195	599	594	415	238	156	141
