1-WT-0h-A431	1-WT-0h-A431-HSA	1-WT-24h-A431	1-WT-24h-A431-HSA	1-WT-3h-A431	1-WT-3h-A431-HSA	2-WT-0h-A431	2-WT-0h-A431-HSA	2-WT-24h-A431	2-WT-24h-A431-HSA	2-WT-3h-A431	2-WT-3h-A431-HSA	3-WT-0h-A431	3-WT-0h-A431-HSA	3-WT-24h-A431	3-WT-24h-A431-HSA	3-WT-3h-A431	3-WT-3h-A431-HSA
C3_03690W_A	72	48	100	504	47	38	44	77	94	517	36	51	49	29	118	687	52	37
C3_03700C_A	6	6	18	42	0	2	3	23	38	16	0	1	6	6	15	23	0	1
C3_03710W_A	422	1000	1655	2791	34	489	423	867	2109	1928	66	165	684	924	1599	1451	31	367
C3_03720W_A	600	275	439	242	433	223	603	419	351	391	367	291	1335	754	452	393	478	209
C3_03730C_A	608	904	844	773	344	417	692	1337	659	738	244	513	1243	1200	518	710	362	269
C3_03740W_A	204	232	276	181	107	113	343	340	285	207	149	166	418	241	249	205	118	112
C3_03750C_A	742	1264	874	1286	366	353	1117	1320	757	1195	278	560	911	877	892	1036	412	490
C3_03760W_A	625	438	838	481	241	211	476	1721	606	752	209	254	1353	945	822	553	334	182
C3_03770C_A	217	441	311	564	94	122	284	494	196	578	86	144	324	356	248	612	105	91
C3_03780W_A	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
C3_03790W_A	908	2203	871	1036	489	852	1269	1978	808	1448	776	798	1343	1435	722	1204	493	686
C3_03800W_A	2043	15245	3967	11421	385	1197	3162	13449	3085	19529	248	1308	3088	8969	5482	17714	447	1250
C3_03810W_A	1028	3238	784	577	363	313	1882	1838	569	734	306	434	681	999	544	662	419	288
C3_03820C_A	495	896	656	504	215	290	551	1040	591	595	201	358	654	790	494	633	198	289
C3_03830W_A	304	402	408	512	194	212	429	457	369	536	145	253	434	385	384	416	173	169
C3_03840C_A	950	1711	804	833	454	589	1239	1502	683	972	432	740	1156	1071	581	1038	445	567
C3_03850C_A	482	644	445	466	217	133	615	884	338	556	223	229	619	544	383	476	242	255
C3_03860W_A	244	797	298	120	183	171	535	510	218	217	199	243	384	420	279	189	173	202
C3_03870C_A	1385	4705	2275	9570	316	922	2831	4420	1560	13855	203	675	3308	4819	2574	11698	284	629
C3_03880C_A	1026	1692	459	672	470	461	1369	1664	308	925	317	537	1351	1206	524	639	564	397
C3_03890W_A	1239	1999	1111	1346	633	536	1602	2184	774	1734	444	766	2026	1799	1175	1190	771	605
C3_03900C_A	3633	11732	2780	2170	3111	3413	12550	3494	2317	2217	4449	5652	1634	2075	2146	3074	3325	5486
C3_03910W_A	2072	4891	1376	903	1525	2014	5930	1715	1240	807	1839	2832	578	870	1133	1338	1457	2621
C3_03920W_A	372	715	379	355	140	207	426	817	353	351	206	299	442	658	399	406	181	247
C3_03930W_A	778	1541	678	806	344	497	1133	1573	473	795	374	591	1156	1203	521	626	447	468
C3_03940C_A	1	4	1	0	0	1	0	1	0	1	0	1	0	2	0	0	0	2
C3_03970W_A	0	0	1	1	1	0	0	0	1	3	0	0	0	0	2	0	0	2
C3_03980C_A	48	82	26	47	19	15	73	98	25	83	23	30	70	75	28	59	27	37
C3_03990C_A	23	836	465	2920	4	30	81	519	333	4126	10	43	36	251	701	4258	18	46
C3_04000C_A	11	39	2780	4005	6	4	15	72	1505	7322	3	1	20	29	4231	4757	2	6
C3_04020C_A	43	38	1222	1999	59	60	37	147	587	2990	43	83	95	121	1210	1394	58	62
C3_04030C_A	337	230	504	507	134	121	268	606	350	546	126	191	490	397	472	382	192	134
C3_04040W_A	1	3	1	0	0	0	0	0	1	1	0	1	0	0	3	3	0	0
C3_04060C_A	28919	18699	2949	2432	2499	5684	18552	40978	2913	2590	2341	11411	18865	22742	3015	2734	2653	10307
C3_04070C_A	1443	797	6825	15902	264	282	898	1659	5156	22051	142	288	661	1045	7802	16086	230	165
C3_04080W_A	4482	9213	1846	2794	292	2064	4624	11064	1925	2560	622	1546	5389	9014	1709	2347	205	2495
C3_04090W_A	12604	20806	8036	8052	5665	7675	15308	19977	7062	8297	5999	10406	14627	18340	7584	8244	5954	8822
C3_04100W_A	43	53	162	81	58	58	70	62	139	78	58	79	61	60	120	98	49	55
C3_04110C_A	889	1568	643	1117	303	426	1212	1831	459	1397	212	534	1385	1315	665	1159	377	435
C3_04120C_A	347	711	479	704	145	326	483	700	391	686	174	314	470	471	355	836	163	256
C3_04130W_A	904	591	520	377	328	256	886	857	481	374	304	397	738	550	389	458	364	272
C3_04140C_A	7734	16209	1641	2014	2598	4778	10219	14784	1590	2528	3073	5686	12303	13704	1635	2618	2596	5040
C3_04160W_A	54	105	125	70	33	32	92	105	66	82	22	47	97	93	105	77	30	34
C3_04170W_A	47	102	33	17	23	35	51	108	20	40	28	40	74	140	45	26	19	32
C3_04180W_A	1212	3049	1507	1927	628	708	2082	2136	1301	2142	721	979	1589	1726	1433	1921	622	800
C3_04190W_A	155	219	77	55	37	18	266	197	112	51	52	25	249	100	83	44	62	25
C3_04200W_A	35	84	99	12	27	14	53	49	90	28	16	23	56	64	104	16	36	19
C3_04210W_A	32	47	2	1	5	7	25	64	6	5	4	6	43	52	5	0	2	7
C3_04220C_A	616	1842	778	1495	398	779	960	1143	739	1942	446	911	867	889	726	2001	406	771
C3_04230W_A	280	853	422	350	165	311	450	433	308	490	110	306	487	460	381	386	198	212
C3_04240C_A	1	0	2	13	0	0	4	0	6	8	0	0	2	5	2	2	0	0
C3_04250W_A	469	1317	1533	2651	214	179	825	868	1192	2980	224	198	636	718	1389	2278	243	184
C3_04260W_A	461	792	735	1054	280	282	728	801	605	1229	348	376	653	531	598	1259	361	306
C3_04270C_A	2971	3775	1659	1566	732	685	3032	7313	1422	1992	587	938	2331	3282	1821	1618	626	598
C3_04290C_A	994	1723	914	1177	390	502	1501	1554	703	1408	222	462	1207	1319	979	971	335	363
C3_04300C_A	5090	17541	1661	748	797	850	9936	7557	1169	1196	847	1237	2484	4328	1260	763	984	1127
C3_04310C_A	9	8	10	3	3	3	7	13	8	6	2	5	10	4	3	2	4	3
C3_04320W_A	268	485	342	312	156	141	574	381	257	257	130	226	265	214	236	346	198	145
C3_04330C_A	1155	750	2012	3233	436	207	1105	1821	1919	3304	405	317	1153	815	2287	2832	570	192
C3_04340W_A	954	801	759	527	338	231	1089	1478	507	723	230	299	858	651	765	505	404	206
C3_04350C_A	67	76	108	97	42	50	89	112	76	124	39	69	73	62	90	120	31	30
C3_04360W_A	848	1277	806	468	420	359	1124	1413	543	660	261	484	1002	1115	675	530	482	301
C3_04370C_A	1031	3120	711	844	481	1214	1489	2115	587	1276	556	1195	1551	1489	809	1023	599	1122
C3_04380C_A	1988	8245	1904	3066	1171	2263	4122	5782	2065	3706	1940	2931	4089	3824	2250	4407	1413	3090
C3_04390W_A	7712	10230	3869	3253	3083	3376	9233	10641	3508	3486	3413	4279	8446	8072	3242	4055	2796	3165
C3_04400C_A	1257	3211	1404	1685	691	1015	2143	2097	1190	2057	667	1218	1619	1729	1314	1956	731	1029
C3_04410C_A	1545	1884	1050	1018	774	873	1753	2319	794	1402	634	1140	1987	1696	1221	992	967	801
C3_04420W_A	1476	1919	704	297	713	689	1817	2034	554	377	579	1016	1802	1793	593	389	723	678
C3_04430W_A	7158	16265	2207	3438	353	3069	7832	18940	1985	3997	662	1870	10021	15248	2197	3013	285	2612
C3_04440C_A	4	13	6	11	2	6	11	16	7	23	0	2	9	26	10	12	1	6
C3_04450C_A	1	1	45	43	4	4	1	0	39	51	0	7	0	1	27	43	0	3
C3_04460W_A	1042	1449	776	460	452	425	1333	1708	616	606	354	575	1321	1304	631	484	513	348
C3_04470W_A	3110	5025	2526	2835	1064	1252	4539	4659	1724	3590	739	1470	3246	3454	2328	2468	1278	1039
C3_04480C_A	61	967	244	935	50	80	186	527	206	1714	51	144	75	345	285	2276	89	94
C3_04490W_A	1553	2752	3872	4391	897	851	2385	2836	3357	5154	1131	1244	1861	1784	3801	4814	1133	1051
C3_04500C_A	41349	88219	8476	12933	11693	20236	60151	82288	8000	17902	13564	24730	59839	59246	9397	15712	12534	21119
C3_04510W_A	847	3075	766	2101	592	1188	1602	1811	883	2523	690	1143	1622	1629	655	2957	491	920
C3_04520C_A	2258	7696	1578	2126	1265	2678	3030	10003	1395	2996	2159	3982	3796	4432	1466	2487	2121	3716
C3_04530C_A	1508	4379	9935	49634	585	1983	3827	852	6657	61295	403	962	1598	1908	9238	52691	509	876
C3_04540C_A	729	1316	958	1729	290	287	1158	794	862	1726	212	302	591	594	850	1505	265	195
C3_04550C_A	1928	2188	3739	4236	420	287	1488	5367	2685	5881	341	795	2270	3439	3038	4923	678	510
C3_04560W_A	2866	13723	3269	5783	1740	5138	5211	8400	2854	8442	1974	5578	6017	6170	2987	7458	2447	4602
C3_04570C_A	24	21	17	20	5	5	26	29	12	32	3	10	38	35	18	18	10	6
C3_04580C_A	344	876	455	449	98	78	747	846	346	679	66	174	618	529	459	424	118	148
C3_04590W_A	4392	8618	2588	2305	1457	2079	6244	7280	2060	2976	1435	2818	4239	4969	2144	2467	1753	2089
C3_04600C_A	108	229	83	43	58	61	169	212	47	69	45	75	90	135	58	68	53	62
C3_04610W_A	792	1012	711	959	197	278	1169	964	626	1165	218	243	1028	661	616	956	224	202
C3_04620C_A	418	714	516	743	133	185	423	814	556	633	131	225	453	517	424	838	91	237
C3_04630W_A	520	288	1761	1479	260	225	464	426	1327	1466	194	225	529	344	1246	1493	160	124
C3_04640W_A	383	820	719	936	220	201	734	742	543	1559	123	200	847	793	1019	913	243	187
C3_04650W_A	67	85	320	220	63	35	79	87	307	254	62	45	86	108	325	267	80	31
C3_04660C_A	36	117	77	84	63	113	64	53	51	204	53	85	134	87	66	175	66	87
C3_04670C_A	25360	56821	6416	10330	8718	14569	38274	50902	6838	13038	11372	19544	38416	38457	6386	12294	9656	17789
C3_04680W_A	21413	42135	4381	6914	6820	13667	28979	41791	4633	8147	8169	15806	29677	29451	4028	8460	7080	12176
C3_04690C_A	197	383	279	267	109	93	343	305	268	331	97	191	235	225	216	339	117	118
C3_04700W_A	300	624	478	450	176	191	458	542	350	567	120	254	442	511	424	541	158	205
C3_04710W_A	102	113	82	53	28	50	93	122	64	66	20	66	87	89	67	52	22	37
C3_04720C_A	441	636	1116	1558	382	210	632	679	818	1871	255	330	542	473	1086	1675	400	204
C3_04730C_A	2	1	22	30	1	5	5	1	12	39	2	4	2	1	16	23	3	3
C3_04740C_A	774	2190	602	288	275	214	1420	1120	483	346	297	265	514	615	423	280	326	207
C3_04750W_A	260	463	412	289	136	108	322	417	300	395	108	159	294	360	396	363	110	107
C3_04760C_A	1505	5399	839	1937	576	826	2929	2906	532	2662	414	893	1867	2238	1081	1851	687	771
C3_04770C_A	315	446	808	673	204	132	378	589	568	963	113	137	510	495	945	735	188	122
C3_04780C_A	2967	2926	930	617	1030	1080	3262	3485	828	810	936	1434	2821	2203	803	672	1026	903
C3_04790W_A	346	397	987	844	264	298	411	525	806	1019	223	404	537	437	911	804	293	297
C3_04800C_A	244	273	718	578	216	146	278	430	458	808	159	203	610	494	701	549	261	171
C3_04810C_A	19960	41160	3795	4818	6157	10870	25966	37762	2946	7387	5818	12309	30343	31953	3697	6444	6717	9089
C3_04820C_A	3635	4956	1290	1352	1153	1312	4526	4443	922	2140	654	1449	3909	3694	1810	1305	1253	1207
C3_04830C_A	29850	98953	7711	6657	13224	22307	64642	69436	5180	10470	13027	29966	38409	38140	7913	7119	27398	28239
C3_04840C_A	270	1040	13004	8939	3085	123	881	430	9638	11339	1305	584	349	238	17119	11189	2439	143
C3_04860W_A	945	3919	1643	4594	389	651	1584	3597	1055	5794	249	835	2158	2992	1845	4385	379	712
C3_04870W_A	0	0	1	7	0	0	2	3	2	13	0	2	0	2	2	10	0	0
C3_04880W_A	2747	4072	5478	7416	2504	1538	4270	3520	4440	9661	1925	2108	3819	2908	5842	9755	2411	1403
C3_04890W_A	207	263	377	380	114	119	236	346	263	551	68	111	296	274	450	384	131	84
C3_04900W_A	938	5121	1427	3027	569	1753	1922	2568	1217	4855	494	1672	2519	2519	1464	4573	702	1446
C3_04910C_A	4156	5513	7808	7413	2017	2590	5173	6807	6077	7946	1958	3660	6675	7369	5958	8398	2213	2749
C3_04920C_A	224	196	506	849	230	220	184	432	432	987	212	298	471	524	455	1082	320	251
C3_04930C_A	676	686	1477	3441	141	122	610	1039	1228	3008	125	197	694	565	1441	2327	159	160
C3_04940W_A	979	1331	1212	2170	305	350	971	1664	1223	2124	259	515	967	928	1105	2084	255	365
C3_04950W_A	13938	17545	3678	3906	3791	4928	17514	19018	3511	4397	4267	6409	14528	12574	3375	4608	3842	5638
C3_04960W_A	24548	48164	6116	10273	8623	16720	32593	48835	6863	11541	13307	19889	31821	31171	5871	12047	8706	17663
C3_04970C_A	2308	2525	1977	1244	1003	460	2724	2931	1371	1541	779	867	2290	1927	1933	1128	1323	581
C3_04980W_A	53	98	24	78	14	28	70	88	22	89	6	30	71	91	32	65	19	25
C3_04990W_A	1004	2130	939	1199	423	497	1701	1503	598	2023	246	461	1542	1493	915	1412	454	361
C3_05000W_A	6388	4842	2623	1703	2356	2591	6371	6475	2390	1847	2831	3304	5400	3876	2031	2316	2253	2503
C3_05010C_A	705	1374	729	500	365	350	1111	950	636	555	235	470	705	689	562	505	360	304
C3_05020W_A	372	571	377	419	246	202	447	457	272	457	189	294	415	411	354	373	198	176
C3_05030W_A	2255	3465	1664	1241	980	1144	2570	3933	1579	1314	1234	1377	3133	3067	1474	1436	1023	1244
C3_05040C_A	177	337	829	1160	201	209	309	305	671	1379	146	254	311	242	829	1108	264	190
C3_05050W_A	1	6	1257	2837	2	0	0	29	965	2586	0	0	12	26	1264	1935	1	1
C3_05060W_A	182	269	280	214	98	165	174	271	208	337	87	162	266	236	273	321	95	138
C3_05070W_A	214	710	625	372	160	314	307	656	481	521	135	343	491	587	566	399	188	229
C3_05080W_A	34	30	34	43	15	12	32	53	16	69	10	20	52	59	31	46	15	18
C3_05090C_A	386	412	478	423	178	137	436	484	352	466	138	195	437	512	417	367	139	150
C3_05100C_A	24250	55318	6770	11305	8858	14592	35415	48658	7026	13885	11037	18636	33404	36114	6389	13133	9036	17035
C3_05110W_A	623	691	407	487	284	217	709	658	372	674	269	258	789	658	407	529	301	208
C3_05120C_A	620	1092	611	452	334	449	875	1020	596	576	380	579	999	939	466	593	372	501
C3_05130C_A	452	83	12	8	16	8	109	223	17	22	27	21	123	83	14	6	31	20
C3_05140C_A	573	2075	465	626	416	863	989	1310	421	1050	392	812	1110	1062	480	903	388	602
C3_05150W_A	1455	3619	554	587	570	974	2455	3646	473	905	574	1088	3167	2170	525	704	778	894
C3_05160C_A	1225	6779	1485	2934	853	2317	2828	3350	1313	5141	961	2182	2969	2590	1633	4248	1131	2295
C3_05170W_A	511	97	1262	1485	54	74	652	105	750	3147	44	38	845	288	1041	1942	73	30
C3_05180W_A	962	1227	480	572	204	218	1295	1071	451	855	210	320	1134	868	467	599	215	294
C3_05190C_A	2425	3171	1692	1475	1355	1020	3040	3298	1043	2251	818	1233	2220	2010	1699	1544	1383	997
C3_05200W_A	27236	58357	8638	14695	8612	14785	37949	61752	9746	16419	11604	18004	41316	43701	8234	17126	9437	16836
C3_05210C_A	1645	3565	1142	608	886	1054	3361	1510	709	906	673	1326	1263	1238	1062	640	1151	992
C3_05220W_A	3079	1216	20348	31556	2130	3107	5999	1106	13729	41332	1061	2703	4807	937	20503	30109	2284	1808
C3_05230W_A	15	11	9	7	9	6	23	30	4	11	6	6	22	33	5	4	3	8
C3_05240C_A	26449	59076	4961	8206	8218	15554	38725	53712	4410	11270	9228	19338	39451	39736	4743	10248	9306	18189
C3_05250C_A	684	955	1951	4159	319	245	1308	812	1668	5029	286	372	990	573	1870	3951	389	274
C3_05270C_A	445	333	810	670	242	159	552	679	479	1192	129	194	587	382	676	851	218	118
C3_05280C_A	1153	2982	990	545	625	1387	2151	2175	827	841	919	1615	1743	1057	864	683	844	1515
C3_05290C_A	46	49	350	207	94	166	66	77	210	274	49	200	105	140	270	249	108	190
C3_05300C_A	459	612	497	517	196	243	537	879	435	694	209	336	712	636	519	609	249	270
C3_05310W_A	1797	4328	2207	1070	1247	1817	2896	3103	1609	1709	1007	2366	3348	3186	2032	1549	1472	1805
C3_05320W_A	484	2331	1260	1031	327	370	1203	1250	783	2539	267	402	1583	1645	1399	2034	376	356
C3_05330C_A	83	111	149	62	62	47	87	104	118	67	61	100	103	87	95	53	50	74
C3_05340W_A	108	184	127	51	60	82	165	150	56	86	33	106	123	147	65	43	66	71
C3_05350C_A	590	1300	579	652	200	156	1032	984	549	660	215	214	676	693	459	557	192	187
C3_05360C_A	547	574	2003	4093	240	145	593	1271	1358	5010	169	247	739	782	1886	4430	339	206
C3_05370C_A	40685	90115	6531	12987	10686	19226	57859	83041	6446	19758	13383	21618	59939	61955	7980	14647	11769	21659
C3_05380W_A	246	577	795	1294	134	236	410	475	647	1692	111	192	513	601	838	1232	91	191
C3_05390C_A	283	377	257	390	99	125	304	376	229	467	99	231	284	236	232	388	78	147
C3_05400C_A	86	129	73	129	32	34	106	141	81	140	39	67	96	82	90	123	35	43
C3_05410W_A	1043	1534	948	1388	370	354	1538	1671	594	1727	220	476	1961	1638	878	1027	415	356
C3_05420W_A	756	1075	914	965	392	316	994	1409	815	1089	307	420	991	869	817	858	408	336
C3_05430W_A	236	461	345	386	152	179	382	319	307	412	141	220	266	277	315	394	145	158
C3_05440C_A	396	642	525	537	88	157	382	942	504	457	111	228	410	479	322	601	106	184
C3_05450C_A	1960	601	1005	2352	55	95	1735	1164	789	3540	59	125	1599	802	897	2190	77	116
C3_05460W_A	733	1598	613	1352	161	283	977	1431	533	1663	150	363	850	1101	535	1195	137	285
C3_05470W_A	573	650	434	478	205	211	557	1026	229	556	95	267	723	777	374	546	181	188
C3_05510W_A	255	374	457	237	158	131	354	422	323	237	129	198	355	308	308	199	214	164
C3_05520C_A	1880	4105	1606	1688	467	652	2402	4741	1167	2668	372	814	3144	3927	1693	2026	536	752
C3_05530W_A	3121	3046	839	424	978	939	3831	3449	716	493	922	1443	3046	2116	569	537	1070	1089
C3_05540C_A	20	80	116	103	26	56	59	56	71	115	23	47	45	38	86	139	31	43
C3_05550C_A	506	651	397	267	230	224	596	773	357	298	290	334	583	528	330	351	249	240
C3_05560W_A	1474	1768	1115	763	866	817	1970	2156	945	933	962	1133	1904	1444	975	908	1085	921
C3_05570W_A	417	1664	569	1594	344	540	724	741	509	2321	302	556	674	913	572	3085	290	537
C3_05580C_A	118	153	369	592	16	11	486	258	142	1856	19	7	721	70	461	627	23	1
C3_05590C_A	6856	10475	2591	2508	1251	1651	8818	15359	2191	3212	1270	1936	5952	6735	2522	3005	1211	1454
C3_05600W_A	36	53	66	153	6	21	33	92	51	279	5	20	39	78	96	224	4	14
C3_05610W_A	315	2149	1392	2939	167	521	877	836	1158	4918	179	581	823	1083	1685	4590	223	467
C3_05620W_A	25	11	73	48	8	3	14	39	63	41	10	11	47	27	77	33	20	12
C3_05630W_A	0	2	28	5	0	1	1	0	16	8	1	1	2	3	6	6	0	0
C3_05640W_A	2	0	2	10	2	1	3	0	8	10	0	0	2	3	7	3	0	0
C3_05650W_A	5247	6893	8266	9054	2045	1870	6598	8207	6198	11342	1878	3006	6217	5050	7136	10938	2421	1983
C3_05660C_A	0	1	1	1	0	0	1	0	2	3	0	0	2	0	0	2	2	1
C3_05670C_A	172	233	73	55	50	47	214	305	83	69	57	48	158	194	77	76	59	80
C3_05680W_A	292	615	563	764	172	171	572	530	492	775	213	234	423	404	408	970	188	214
C3_05700W_A	3404	7711	2938	4185	1026	1128	5666	5967	2139	6114	680	1377	4935	4760	3186	4827	1074	1244
C3_05710W_A	31918	9485	18592	6843	10943	7552	26111	13615	13397	10185	9612	10458	31804	12122	11178	9587	13709	5482
C3_05720C_A	774	2309	1057	833	368	375	1680	1075	793	951	270	434	774	757	656	860	397	313
C3_05730C_A	1923	2874	998	1607	390	739	2484	2586	1056	2062	413	823	1990	1468	882	1924	407	590
C3_05740C_A	689	852	486	568	220	263	898	950	415	611	202	351	693	614	428	708	216	287
C3_05750C_A	121	60	149	169	13	22	66	86	114	242	5	23	59	42	197	278	26	17
C3_05760W_A	372	675	1203	1554	297	278	529	971	1108	1813	326	597	618	665	1010	2095	408	437
C3_05770C_A	508	979	442	448	247	406	699	927	440	532	289	463	674	700	325	555	237	322
C3_05780C_A	321	903	689	1781	170	191	681	751	444	1781	111	270	623	601	685	1485	190	220
C3_05790C_A	294	347	360	641	126	118	307	389	404	516	105	174	274	245	336	527	124	119
C3_05800W_A	315	898	309	359	191	343	400	547	235	544	150	394	507	549	260	550	178	293
C3_05810C_A	8019	14889	4781	9996	2552	3723	14674	7018	3992	14325	2531	3926	9651	6056	5049	12036	2679	3564
C3_05830W_A	1145	4521	1832	6240	560	872	2997	1733	1519	9200	321	626	1995	2320	1997	6673	383	536
C3_05840W_A	20	12	20	39	3	5	7	23	20	118	3	3	17	21	75	39	1	1
C3_05850W_A	284	230	245	211	120	99	245	374	196	264	109	143	357	240	246	263	160	111
C3_05860C_A	358	913	479	418	229	510	467	594	376	632	177	502	491	542	347	666	204	439
C3_05870C_A	1940	4286	1427	2819	700	1061	2650	3698	1254	3414	573	1227	2736	3196	1517	2858	776	1034
C3_05880C_A	4087	6213	3601	2115	1692	1331	5769	5746	2269	2661	1190	1936	4367	3855	2343	2589	2353	1053
C3_05890W_A	291	664	728	548	150	263	473	646	589	673	151	282	347	410	527	820	152	204
C3_05900W_A	765	973	739	1390	103	193	880	1876	593	1873	90	198	709	730	684	2211	96	161
C3_05910W_A	258	581	516	837	132	198	477	462	370	1104	86	248	445	388	487	974	91	191
C3_05920W_A	838	1578	729	1284	350	404	1566	1137	496	2193	195	403	1156	964	948	1353	328	344
C3_05930W_A	697	2037	1337	4291	355	675	1278	1480	979	5342	219	808	1323	1296	1542	4920	401	633
C3_05940C_A	165	249	202	250	80	87	191	182	165	262	62	120	188	175	156	264	79	98
C3_05950W_A	430	841	687	1054	196	258	617	732	558	1343	129	317	553	637	711	1108	189	229
C3_05960W_A	225	461	466	306	152	209	445	252	323	336	108	310	184	260	336	349	147	209
C3_05970C_A	1774	2954	2327	3014	675	701	2529	2916	1334	4165	474	776	2260	2118	2189	3309	758	601
C3_05980C_A	263	380	1133	1205	118	127	301	457	808	1614	79	120	288	243	1158	1564	127	105
C3_05990C_A	390	415	270	182	260	345	525	599	117	237	165	445	679	549	180	172	383	368
C3_06000W_A	2008	1407	1473	2524	732	739	4516	715	1120	2724	680	709	3031	485	1376	1994	941	700
C3_06010W_A	9896	20538	1997	2315	3515	6165	13698	20157	1553	4118	3281	6303	14818	14675	2318	3471	3825	5568
C3_06020W_A	2863	4094	1759	2061	879	1106	3777	3766	1635	2130	969	1488	2766	2280	1503	2109	883	1134
C3_06030W_A	2081	10699	2788	5372	1389	3259	4645	5981	2764	7553	1863	3658	4919	4169	3069	7554	1763	3463
C3_06040W_A	51	23	15	10	14	4	53	29	15	37	26	3	99	19	21	18	29	4
C3_06050C_A	864	2184	893	1031	107	559	1020	2251	899	1257	149	453	1078	1581	813	1333	59	502
C3_06060W_A	683	2330	1165	2990	190	899	1046	1662	1231	3722	275	649	1283	1422	1176	3802	166	590
C3_06070C_A	3163	6105	1997	3003	1242	1351	5322	3851	1432	4569	907	1448	3534	3012	1881	3927	1324	1084
C3_06080W_A	733	1183	392	332	167	181	928	1193	249	531	138	252	985	907	385	387	209	201
C3_06090C_A	1530	1720	1195	1318	548	543	1976	1985	1132	1335	459	677	1737	1352	1103	1547	521	492
C3_06100C_A	2420	8986	3662	9353	731	1308	5056	5983	2611	16536	658	1483	4982	4087	4432	13963	1082	1194
C3_06110C_A	1359	2182	1511	1649	702	399	1752	3278	1363	2375	502	559	1852	1707	1918	2011	900	477
C3_06120C_A	3166	11312	800	1412	784	1275	6938	4893	690	2806	911	1492	2722	3170	806	2544	971	1363
C3_06130W_A	6	12	11	23	7	28	7	19	5	30	2	22	6	7	8	12	8	6
C3_06140W_A	152	380	374	516	104	124	224	334	246	783	85	188	173	224	361	775	98	133
C3_06150W_A	639	1319	671	709	353	412	1019	1136	423	1066	213	417	1073	1042	857	726	391	395
C3_06160C_A	5	39	13	12	2	14	13	15	9	21	4	15	19	17	10	22	6	12
C3_06170C_A	25	31	9	5	12	16	35	37	14	13	12	10	32	27	9	4	7	16
C3_06180C_A	176	458	88	64	178	156	266	320	74	62	191	230	275	279	72	95	116	148
C3_06190C_A	291	542	358	327	128	160	418	635	297	458	88	166	576	539	369	335	134	163
C3_06200C_A	693	1976	584	315	269	231	1417	1117	534	345	334	352	640	694	478	372	277	300
C3_06210C_A	1176	2112	1556	1824	550	623	1769	1890	1322	2299	464	732	1578	1384	1574	1860	607	541
C3_06220C_A	64	133	121	105	65	81	158	89	102	140	43	74	165	136	116	134	34	37
C3_06230W_A	1179	2840	966	1137	278	553	1479	2935	747	2037	268	584	1529	1747	1155	1759	413	492
C3_06240C_A	423	837	395	477	129	276	534	819	403	456	129	258	442	639	330	656	101	259
C3_06250W_A	6406	7145	1176	654	1532	1664	7384	6175	1081	738	1723	2253	4532	3870	972	931	1517	1712
C3_06260C_A	431	1021	374	366	243	327	732	721	350	406	167	387	513	516	405	405	246	319
C3_06270C_A	350	467	393	574	141	128	347	729	350	619	146	277	347	390	382	640	162	172
C3_06280W_A	1565	2757	966	1198	723	1089	1786	2602	834	1348	594	1472	1683	1916	762	1327	785	854
C3_06290W_A	1102	990	1068	1646	473	363	1118	1510	929	1898	435	542	1328	1003	1058	1865	508	418
C3_06300W_A	1740	6218	1186	790	605	853	3983	2430	791	1018	469	1007	1311	1794	895	739	717	787
C3_06310C_A	964	2230	589	1333	315	494	1548	1375	411	2062	207	543	1259	1129	657	1379	315	490
C3_06320W_A	257	556	382	559	114	129	389	434	255	870	84	138	444	447	435	407	151	124
C3_06330W_A	106	303	45	38	126	104	197	185	47	34	91	121	162	200	36	56	87	85
C3_06340W_A	97	119	53	24	40	48	84	115	31	33	41	45	68	107	44	35	42	39
C3_06350W_A	138	201	130	162	51	64	154	187	98	184	34	92	171	130	100	170	48	40
C3_06360C_A	5575	6234	2313	1209	2811	2797	6657	6042	2083	1529	2747	3634	5932	5293	2146	1692	2713	2588
C3_06370C_A	678	3345	1321	1872	579	1568	1425	1707	1259	2689	616	1481	1553	1297	1092	3175	544	1106
C3_06380W_A	0	19	3	7	1	7	14	10	6	9	5	9	15	6	4	10	0	0
C3_06390W_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3_06400C_A	984	3224	1081	646	688	498	2448	1221	796	785	702	650	897	942	764	710	801	509
C3_06410C_A	666	1289	706	396	446	407	1261	821	678	479	496	527	743	648	593	464	398	417
C3_06420C_A	1519	3974	1964	2667	568	819	2843	2896	1625	3836	759	1051	2191	2136	2079	3918	587	862
C3_06430W_A	1601	3106	1507	919	550	600	2215	2967	1323	1241	620	920	1656	1783	1174	1216	626	649
C3_06440W_A	3692	8584	3048	2913	1716	2815	5671	6714	2022	4529	998	2907	5880	6124	3472	3351	2369	2109
C3_06450W_A	237	146	832	654	94	60	249	270	693	628	90	55	151	112	728	659	110	15
C3_06470W_A	1356	2104	1441	3741	223	308	2079	2019	692	4221	117	237	1227	1094	1183	3413	177	132
C3_06480C_A	471	433	236	106	232	227	434	661	189	147	279	390	739	717	215	117	253	321
C3_06490W_A	399	396	409	425	279	244	304	681	320	329	207	323	616	770	263	331	213	199
C3_06500W_A	7712	9161	3241	2011	2919	3021	9607	9532	2405	2769	2474	4100	9864	7628	3355	2151	3547	3130
